MEDICAO;Data;TRATAMENTO;REPETICAO;DIAM_COLETO;ALTURA_PLANTA;CALCULOS;;OBSERVACAO;;;;;;;;;;;
1;28.04.2022;1;1;5,84;19,50;15;;;;;;;DC;AP;Fol;;;;
1;28.04.2022;1;2;6,63;17,00;15;;;;;;703;5,615555556;18,5;15,4;;;;
1;28.04.2022;1;3;8,16;20,50;19;;;;;;;6,81;19,52;16;;;;
1;28.04.2022;1;4;5,50;16,50;17;;;;;;;7,604;26,4;19,4;;;;
1;28.04.2022;1;5;6,09;19,50;15;;;;;;;8,368;27,15;19,8;;;;
1;28.04.2022;1;6;5,50;17,00;15;;;;;;;9,389;35,3;22,7;;;;
1;28.04.2022;1;7;3,92;20,00;13;;;;;;;10,38222222;41,75;23,4;;;;
1;28.04.2022;1;8;3,39;15,00;16;;;;;;;;;;;;;
1;28.04.2022;1;9;5,69;20,00;12;;;;;;723;5,769;19,2;17;;;;
1;28.04.2022;1;10;5,32;20,00;17;;5,604;18,5;15,4;;;6,475;22,6;18,3;;;;
1;28.04.2022;2;1;5,58;19,50;19;;;;;;;7,633;32,1;21,8;;;;
1;28.04.2022;2;2;5,84;18,50;18;;;;;;;8,392;33,1;23,6;;;;
1;28.04.2022;2;3;4,59;20,00;16;;;;;;;9,149;39,05;25,8;;;;
1;28.04.2022;2;4;6,05;15,50;14;;;;;;;10,775;43,4;26;;;;
1;28.04.2022;2;5;5,29;15,00;16;;;;;;;;;;;;;
1;28.04.2022;2;6;6,26;25,50;20;;;;;;733;5,555555556;17,33333333;16,8;;;;
1;28.04.2022;2;7;5,76;21,00;20;;;;;;;6,241;21,15;17,6;;;;
1;28.04.2022;2;8;5,20;16,50;15;;;;;;;7,255;28,85;20,9;;;;
1;28.04.2022;2;9;6,90;20,00;13;;;;;;;7,941;29,2;23,3;;;;
1;28.04.2022;2;10;6,22;20,50;19;;5,769;19,2;17;;;8,947;36,25;25,1;;;;
1;28.04.2022;3;1;6.04;19,50;22;;;;;;;13,104;41,26;26,2;;;;
1;28.04.2022;3;2;5,36;17,00;15;;;;;;;;;;;;;
1;28.04.2022;3;3;5,02;19,00;20;;;;;;Test;5,277;19,1;15,8;;;;
1;28.04.2022;3;4;5,21;16,00;18;;;;;;;5,868;19,3;15,8;;;;
1;28.04.2022;3;5;4,90;16,00;16;;;;;;;6,789;23,85;18,3;;;;
1;28.04.2022;3;6;5,55;16,50;14;;;;;;;7,485;23,6;18,4;;;;
1;28.04.2022;3;7;6,00;15,00;14;;;;;;;8,11;33,05555556;21,7;;;;
1;28.04.2022;3;8;5,65;14,50;15;;;;;;;9,012;118,35;23,3;;;;
1;28.04.2022;3;9;5,76;17.5;18;;;;;;;;;;;;;
1;28.04.2022;3;10;6,55;22,50;16;;5,555555556;17,33333333;16,8;;;;;;;;;
1;28.04.2022;4;1;6,60;22,00;15;;;;;;;;;;;;;
1;28.04.2022;4;2;6,00;19,50;20;;;;;;;;DC;;;;;
1;28.04.2022;4;3;5,28;25,50;20;;;;;;;;1;2;3;4;5;6
1;28.04.2022;4;4;5,09;18,00;16;;;;;;;ERR 703;5,615555556;6,81;7,604;8,368;9,389;10,38222222
1;28.04.2022;4;5;3,79;18,00;13;;;;;;;ERR 723;5,769;6,475;7,633;8,392;9,149;10,775
1;28.04.2022;4;6;4,76;17,00;19;;;;;;;ERR 733;5,555555556;6,241;7,255;7,941;8,947;13,104
1;28.04.2022;4;7;5,72;18,00;17;;;;;;;Controle -;5,277;5,868;6,789;7,485;8,11;9,012
1;28.04.2022;4;8;6,18;18,00;17;;;;;;;;;;;;;
1;28.04.2022;4;9;3,61;14,00;6;;;;;;;;;;;;;
1;28.04.2022;4;10;5,74;21,00;15;;5,277;19,1;15,8;;;;AP;;;;;
2;24.05.2022;1;1;6,99;22,50;16;;;;;;;;1;2;3;4;5;6
2;24.05.2022;1;2;7,48;17,50;16;;;;;;;ERR 703;18,5;19,52;26,4;27,15;35,3;41,75
2;24.05.2022;1;3;9,24;20,50;19;;;;;;;ERR 723;19,2;22,6;32,1;33,1;39,05;43,4
2;24.05.2022;1;4;6,51;19,50;20;;;;;;;ERR 733;17,33333333;21,15;28,85;29,2;36,25;41,26
2;24.05.2022;1;5;7,20;19,00;15;;;;;;;Controle -;19,1;19,3;23,85;23,6;33,05555556;118,35
2;24.05.2022;1;6;6,48;17,70;15;;;;;;;;;;;;;
2;24.05.2022;1;7;5,54;21,00;13;;;;;;;;;;;;;
2;24.05.2022;1;8;6,62;16,00;16;;;;;;;;FL;;;;;
2;24.05.2022;1;9;6,01;20,50;13;;;;;;;;1;2;3;4;5;6
2;24.05.2022;1;10;6,03;21,00;17;;6,81;19,52;16;;;ERR 703;15,4;16;19,4;19,8;22,7;23,4
2;24.05.2022;2;1;5,60;24,50;22;;;;;;;ERR 723;17;18,3;21,8;23,6;25,8;26
2;24.05.2022;2;2;5,40;19,00;17;;;;;;;ERR 733;16,8;17,6;20,9;23,3;25,1;26,2
2;24.05.2022;2;3;5,92;24,50;17;;;;;;;Controle -;15,8;15,8;18,3;18,4;21,7;23,3
2;24.05.2022;2;4;7,30;19,50;15;;;;;;;;;;;;;
2;24.05.2022;2;5;6,16;18,50;15;;;;;;;;;;;;;
2;24.05.2022;2;6;6,40;29,50;21;;;;;;;;;;;;;
2;24.05.2022;2;7;6,71;25,00;23;;;;;;;;;;;;;
2;24.05.2022;2;8;5,80;21,00;18;;;;;;;;;;;;;
2;24.05.2022;2;9;8,63;19,00;14;;;;;;;;;;;;;
2;24.05.2022;2;10;6,83;25,50;21;;6,475;22,6;18,3;;;;;;;;;
2;24.05.2022;3;1;6,50;23,00;23;;;;;;;;;;;;;
2;24.05.2022;3;2;6,25;24,50;16;;;;;;;;;;;;;
2;24.05.2022;3;3;6,03;21,50;20;;;;;;;;;;;;;
2;24.05.2022;3;4;5,54;16,50;17;;;;;;;;;;;;;
2;24.05.2022;3;5;5,54;19,00;16;;;;;;;;;;;;;
2;24.05.2022;3;6;6,42;26,00;17;;;;;;;;;;;;;
2;24.05.2022;3;7;6,56;19,50;15;;;;;;;;;;;;;
2;24.05.2022;3;8;5,20;15,00;14;;;;;;;;;;;;;
2;24.05.2022;3;9;6,48;23,50;23;;;;;;;;;;;;;
2;24.05.2022;3;10;7,89;23,00;15;;6,241;21,15;17,6;;;;;;;;;
2;24.05.2022;4;1;6,90;22,00;13;;;;;;;;;;;;;
2;24.05.2022;4;2;6,37;21,00;20;;;;;;;;;;;;;
2;24.05.2022;4;3;5,60;15,00;20;;;;;;;;;;;;;
2;24.05.2022;4;4;5,73;20,00;16;;;;;;;;;;;;;
2;24.05.2022;4;5;4,48;18,00;12;;;;;;;;;;;;;
2;24.05.2022;4;6;5,19;19,00;19;;;;;;;;;;;;;
2;24.05.2022;4;7;6,28;18,00;16;;;;;;;;;;;;;
2;24.05.2022;4;8;6,91;19,00;17;;;;;;;;;;;;;
2;24.05.2022;4;9;4,74;19,00;9;;;;;;;;;;;;;
2;24.05.2022;4;10;6,48;22,00;16;;5,868;19,3;15,8;;;;;;;;;
3;29.06.2022;1;1;7,93;28,00;21;;;;;;;;;;;;;
3;29.06.2022;1;2;8,23;26,00;21;;;;;;;;;;;;;
3;29.06.2022;1;3;9,35;23,50;21;;;;;;;;;;;;;
3;29.06.2022;1;4;7,12;23,50;21;;;;;;;;;;;;;
3;29.06.2022;1;5;8,57;25,00;18;;;;;;;;;;;;;
3;29.06.2022;1;6;7,47;28,50;19;;;;;;;;;;;;;
3;29.06.2022;1;7;6,68;30,00;16;;;;;;;;;;;;;
3;29.06.2022;1;8;7,38;23,00;20;;;;;;;;;;;;;
3;29.06.2022;1;9;6,70;24,00;16;;;;;;;;;;;;;
3;29.06.2022;1;10;6,61;32,50;21;;7,604;26,4;19,4;;;;;;;;;
3;29.06.2022;2;1;7,36;34,00;26;;;;;;;;;;;;;
3;29.06.2022;2;2;7,16;27,00;19;;;;;;;;;;;;;
3;29.06.2022;2;3;7,18;33,00;22;;;;;;;;;;;;;
3;29.06.2022;2;4;7,41;28,00;21;;;;;;;;;;;;;
3;29.06.2022;2;5;6,96;29,00;17;;;;;;;;;;;;;
3;29.06.2022;2;6;8,24;35,00;22;;;;;;;;;;;;;
3;29.06.2022;2;7;8,14;33,50;27;;;;;;;;;;;;;
3;29.06.2022;2;8;6,57;32,00;19;;;;;;;;;;;;;
3;29.06.2022;2;9;9,29;31,00;18;;;;;;;;;;;;;
3;29.06.2022;2;10;8,02;38,50;27;;7,633;32,1;21,8;;;;;;;;;
3;29.06.2022;3;1;8,15;31,00;25;;;;;;;;;;;;;
3;29.06.2022;3;2;7,51;29,50;22;;;;;;;;;;;;;
3;29.06.2022;3;3;6,86;27,50;22;;;;;;;;;;;;;
3;29.06.2022;3;4;6,53;20,00;19;;;;;;;;;;;;;
3;29.06.2022;3;5;6,33;27,50;21;;;;;;;;;;;;;
3;29.06.2022;3;6;7,21;32,00;20;;;;;;;;;;;;;
3;29.06.2022;3;7;7,43;28,00;20;;;;;;;;;;;;;
3;29.06.2022;3;8;6,73;28,00;14;;;;;;;;;;;;;
3;29.06.2022;3;9;8,07;32,00;27;;;;;;;;;;;;;
3;29.06.2022;3;10;7,73;33,00;19;;7,255;28,85;20,9;;;;;;;;;
3;29.06.2022;4;1;6,41;23,00;14;;;;;;;;;;;;;
3;29.06.2022;4;2;7,20;30,00;21;;;;;;;;;;;;;
3;29.06.2022;4;3;6,02;23,00;19;;;;;;;;;;;;;
3;29.06.2022;4;4;6,26;26,50;21;;;;;;;;;;;;;
3;29.06.2022;4;5;5,12;21,00;15;;;;;;;;;;;;;
3;29.06.2022;4;6;5,36;22,00;26;;;;;;;;;;;;;
3;29.06.2022;4;7;7,27;21,00;20;;;;;;;;;;;;;
3;29.06.2022;4;8;7,72;22,00;18;;;;;;;;;;;;;
3;29.06.2022;4;9;6,27;21,00;10;;;;;;;;;;;;;
3;29.06.2022;4;10;10,26;29,00;19;;6,789;23,85;18,3;;;;;;;;;
4;25.07.2022;1;1;8,12;30,00;20;;;;;;;;;;;;;
4;25.07.2022;1;2;9,31;26,50;22;;;;;;;;;;;;;
4;25.07.2022;1;3;10,34;24,50;21;;;;;;;;;;;;;
4;25.07.2022;1;4;8,33;24,00;23;;;;;;;;;;;;;
4;25.07.2022;1;5;9,00;26,00;19;;;;;;;;;;;;;
4;25.07.2022;1;6;8,67;30,00;20;;;;;;;;;;;;;
4;25.07.2022;1;7;6,59;30,50;17;;;;;;;;;;;;;
4;25.07.2022;1;8;8,07;23,00;18;;;;;;;;;;;;;
4;25.07.2022;1;9;7,10;24,00;16;;;;;;;;;;;;;
4;25.07.2022;1;10;8,15;33,00;22;;8,368;27,15;19,8;;;;;;;;;
4;25.07.2022;2;1;8,44;35,00;25;;;;;;;;;;;;;
4;25.07.2022;2;2;7,91;28,50;23;;;;;;;;;;;;;
4;25.07.2022;2;3;8,50;33,50;23;;;;;;;;;;;;;
4;25.07.2022;2;4;8,04;28,50;23;;;;;;;;;;;;;
4;25.07.2022;2;5;7,28;32,50;22;;;;;;;;;;;;;
4;25.07.2022;2;6;8,91;37,00;25;;;;;;;;;;;;;
4;25.07.2022;2;7;8,35;35,00;29;;;;;;;;;;;;;
4;25.07.2022;2;8;7,77;29,50;19;;;;;;;;;;;;;
4;25.07.2022;2;9;9,69;32,00;19;;;;;;;;;;;;;
4;25.07.2022;2;10;9,03;39,50;28;;8,392;33,1;23,6;;;;;;;;;
4;25.07.2022;3;1;8,54;32,00;30;;;;;;;;;;;;;
4;25.07.2022;3;2;8,00;31,00;25;;;;;;;;;;;;;
4;25.07.2022;3;3;7,32;29,00;24;;;;;;;;;;;;;
4;25.07.2022;3;4;6,40;20,00;21;;;;;;;;;;;;;
4;25.07.2022;3;5;6,88;27,50;24;;;;;;;;;;;;;
4;25.07.2022;3;6;8,17;33,50;23;;;;;;;;;;;;;
4;25.07.2022;3;7;8,24;29,00;20;;;;;;;;;;;;;
4;25.07.2022;3;8;6,96;23,00;17;;;;;;;;;;;;;
4;25.07.2022;3;9;9,59;33,50;29;;;;;;;;;;;;;
4;25.07.2022;3;10;9,31;33,50;20;;7,941;29,2;23,3;;;;;;;;;
4;25.07.2022;4;1;8,30;23,00;14;;;;;;;;;;;;;
4;25.07.2022;4;2;8,10;31,00;23;;;;;;;;;;;;;
4;25.07.2022;4;3;7,01;23,00;19;;;;;;;;;;;;;
4;25.07.2022;4;4;7,08;21,00;21;;;;;;;;;;;;;
4;25.07.2022;4;5;5,95;21,50;15;;;;;;;;;;;;;
4;25.07.2022;4;6;5,94;22,00;23;;;;;;;;;;;;;
4;25.07.2022;4;7;7,75;21,50;20;;;;;;;;;;;;;
4;25.07.2022;4;8;8,36;22,00;20;;;;;;;;;;;;;
4;25.07.2022;4;9;7,85;24,00;10;;;;;;;;;;;;;
4;25.07.2022;4;10;8,51;29,00;19;;7,485;23,8;18,4;;;;;;;;;
5;25.08.2022;1;1;9,91;41,50;26;;;;;;;;;;;;;
5;25.08.2022;1;2;9,89;38,00;24;;;;;;;;;;;;;
5;25.08.2022;1;3;11,79;33,00;22;;;;;;;;;;;;;
5;25.08.2022;1;4;9,34;33,00;26;;;;;;;;;;;;;
5;25.08.2022;1;5;9,64;33,50;22;;;;;;;;;;;;;
5;25.08.2022;1;6;9,36;37,00;21;;;;;;;;;;;;;
5;25.08.2022;1;7;7,66;37,50;21;;;;;;;;;;;;;
5;25.08.2022;1;8;9,22;31,50;21;;;;;;;;;;;;;
5;25.08.2022;1;9;8,08;28,00;19;;;;;;;;;;;;;
5;25.08.2022;1;10;9,00;40,00;25;;9,389;35,3;22,7;;;;;;;;;
5;25.08.2022;2;1;8,50;36,00;27;;;;;;;;;;;;;
5;25.08.2022;2;2;8,95;36,50;27;;;;;;;;;;;;;
5;25.08.2022;2;3;8,30;41,00;25;;;;;;;;;;;;;
5;25.08.2022;2;4;8,94;40,00;26;;;;;;;;;;;;;
5;25.08.2022;2;5;8,42;37,00;24;;;;;;;;;;;;;
5;25.08.2022;2;6;10,00;43,00;27;;;;;;;;;;;;;
5;25.08.2022;2;7;9,85;34,50;29;;;;;;;;;;;;;
5;25.08.2022;2;8;8,34;37,50;24;;;;;;;;;;;;;
5;25.08.2022;2;9;10,42;42,00;22;;;;;;;;;;;;;
5;25.08.2022;2;10;9,77;43,00;27;;9,149;39,05;25,8;;;;;;;;;
5;25.08.2022;3;1;9,91;38,00;32;;;;;;;;;;;;;
5;25.08.2022;3;2;9,32;41,00;28;;;;;;;;;;;;;
5;25.08.2022;3;3;8,53;40,00;26;;;;;;;;;;;;;
5;25.08.2022;3;4;7,09;26,00;24;;;;;;;;;;;;;
5;25.08.2022;3;5;7,67;32,50;23;;;;;;;;;;;;;
5;25.08.2022;3;6;9,40;44,00;27;;;;;;;;;;;;;
5;25.08.2022;3;7;8,53;28,50;19;;;;;;;;;;;;;
5;25.08.2022;3;8;7,92;31,50;22;;;;;;;;;;;;;
5;25.08.2022;3;9;10,95;37,50;29;;;;;;;;;;;;;
5;25.08.2022;3;10;10,15;43,50;21;;8,947;36,25;25,1;;;;;;;;;
5;25.08.2022;4;1;9,06;28,50;17;;;;;;;;;;;;;
5;25.08.2022;4;2;8,59;40,00;25;;;;;;;;;;;;;
5;25.08.2022;4;3;8,00;33,00;24;;;;;;;;;;;;;
5;25.08.2022;4;4;8,05;37,50;23;;;;;;;;;;;;;
5;25.08.2022;4;5;6,30;29,50;20;;;;;;;;;;;;;
5;25.08.2022;4;6;6,68;28,00;27;;;;;;;;;;;;;
5;25.08.2022;4;7;8,40;26.5;23;;;;;;;;;;;;;
5;25.08.2022;4;8;9,17;31,50;23;;;;;;;;;;;;;
5;25.08.2022;4;9;7,73;32,50;13;;;;;;;;;;;;;
5;25.08.2022;4;10;9,12;37,00;22;;8,11;33,05555556;21,7;;;;;;;;;
6;29.09.2022;1;1;10,52;46,50;20;;;;;;;;;;;;;
6;29.09.2022;1;2;10,69;45,00;25;;;;;;;;;;;;;
6;29.09.2022;1;3;13,05;37,50;21;;;;;;;;;;;;;
6;29.09.2022;1;4;9,80;41,50;27;;;;;;;;;;;;;
6;29.09.2022;1;5;10.81;42,50;26;;;;;;;;;;;;;
6;29.09.2022;1;6;10,69;43,50;24;;;;;;;;;;;;;
6;29.09.2022;1;7;9,47;47,00;24;;;;;;;;;;;;;
6;29.09.2022;1;8;10,33;37,00;20;;;;;;;;;;;;;
6;29.09.2022;1;9;8,00;30,00;17;;;;;;;;;;;;;
6;29.09.2022;1;10;10,89;47,00;30;;10,38222222;41,75;23,4;;;;;;;;;
6;29.09.2022;2;1;9,19;45,00;28;;;;;;;;;;;;;
6;29.09.2022;2;2;9,51;41,50;26;;;;;;;;;;;;;
6;29.09.2022;2;3;11,11;48,00;29;;;;;;;;;;;;;
6;29.09.2022;2;4;11,15;48,50;31;;;;;;;;;;;;;
6;29.09.2022;2;5;9,64;39,00;20;;;;;;;;;;;;;
6;29.09.2022;2;6;10,40;47,00;29;;;;;;;;;;;;;
6;29.09.2022;2;7;12,25;35,00;26;;;;;;;;;;;;;
6;29.09.2022;2;8;9,16;44,50;22;;;;;;;;;;;;;
6;29.09.2022;2;9;11,59;43,50;19;;;;;;;;;;;;;
6;29.09.2022;2;10;13,75;43,00;30;;10,775;43,5;26;;;;;;;;;
6;29.09.2022;3;1;10,26;47,00;31;;;;;;;;;;;;;
6;29.09.2022;3;2;10,21;46,60;31;;;;;;;;;;;;;
6;29.09.2022;3;3;9,44;43,00;30;;;;;;;;;;;;;
6;29.09.2022;3;4;8,11;34,00;26;;;;;;;;;;;;;
6;29.09.2022;3;5;8,58;42,00;21;;;;;;;;;;;;;
6;29.09.2022;3;6;10,94;46,50;24;;;;;;;;;;;;;
6;29.09.2022;3;7;10,50;28,50;15;;;;;;;;;;;;;
6;29.09.2022;3;8;8,42;33,50;23;;;;;;;;;;;;;
6;29.09.2022;3;9;42,48;39,00;36;;;;;;;;;;;;;
6;29.09.2022;3;10;12,10;52,50;25;;13,104;41,26;26,2;;;;;;;;;
6;29.09.2022;4;1;9,77;35,00;20;;;;;;;;;;;;;
6;29.09.2022;4;2;9,78;45,00;24;;;;;;;;;;;;;
6;29.09.2022;4;3;9,00;41,00;25;;;;;;;;;;;;;
6;29.09.2022;4;4;9,00;46,00;27;;;;;;;;;;;;;
6;29.09.2022;4;5;6,97;37,00;20;;;;;;;;;;;;;
6;29.09.2022;4;6;7,34;36,00;33;;;;;;;;;;;;;
6;29.09.2022;4;7;9,05;32,00;24;;;;;;;;;;;;;
6;29.09.2022;4;8;9,96;39,50;24;;;;;;;;;;;;;
6;29.09.2022;4;9;8,72;33,00;12;;;;;;;;;;;;;
6;29.09.2022;4;10;10,53;39,00;24;;9,012;38,35;23,3;;;;;;;;;
7;26.10.2022;1;1;11,55;57,00;20;;;;;;;;;;;;;
7;26.10.2022;1;2;11,29;54,00;25;;;;;;;;;;;;;
7;26.10.2022;1;3;11,68;52,50;29;;;;;;;;;;;;;
7;26.10.2022;1;4;10,11;49,00;25;;;;;;;;;;;;;
7;26.10.2022;1;5;10,94;54,00;26;;;;;;;;;;;;;
7;26.10.2022;1;6;10,62;52,50;23;;;;;;;;;;;;;
7;26.10.2022;1;7;10,15;56,00;22;;;;;;;;;;;;;
7;26.10.2022;1;8;10,39;45,00;20;;;;;;;;;;;;;
7;26.10.2022;1;9;8,58;42,00;17;;;;;;;;;;;;;
7;26.10.2022;1;10;11,02;54,00;22;;;;;;;;;;;;;
7;26.10.2022;2;1;9,97;54,00;20;;;;;;;;;;;;;
7;26.10.2022;2;2;10,33;52,00;19;;;;;;;;;;;;;
7;26.10.2022;2;3;10,33;54,50;26;;;;;;;;;;;;;
7;26.10.2022;2;4;10,57;61,00;25;;;;;;;;;;;;;
7;26.10.2022;2;5;10,66;49,50;20;;;;;;;;;;;;;
7;26.10.2022;2;6;11,19;48,00;27;;;;;;;;;;;;;
7;26.10.2022;2;7;12,00;42,50;28;;;;;;;;;;;;;
7;26.10.2022;2;8;9,78;57,50;29;;;;;;;;;;;;;
7;26.10.2022;2;9;12,49;62,00;17;;;;;;;;;;;;;
7;26.10.2022;2;10;12,88;47,00;26;;;;;;;;;;;;;
7;26.10.2022;3;1;11,51;60,00;37;;;;;;;;;;;;;
7;26.10.2022;3;2;10,70;53,50;26;;;;;;;;;;;;;
7;26.10.2022;3;3;10.43;65,50;27;;;;;;;;;;;;;
7;26.10.2022;3;4;7,77;42,50;16;;;;;;;;;;;;;
7;26.10.2022;3;5;8,48;57,50;31;;;;;;;;;;;;;
7;26.10.2022;3;6;11,30;59,50;25;;;;;;;;;;;;;
7;26.10.2022;3;7;9,63;38,50;17;;;;;;;;;;;;;
7;26.10.2022;3;8;9,20;35,50;22;;;;;;;;;;;;;
7;26.10.2022;3;9;11,74;42,50;35;;;;;;;;;;;;;
7;26.10.2022;3;10;11,73;63,50;22;;;;;;;;;;;;;
7;26.10.2022;4;1;10,00;46,50;20;;;;;;;;;;;;;
7;26.10.2022;4;2;9,93;53,00;16;;;;;;;;;;;;;
7;26.10.2022;4;3;9,03;54,00;27;;;;;;;;;;;;;
7;26.10.2022;4;4;10,05;55,00;26;;;;;;;;;;;;;
7;26.10.2022;4;5;7,89;41,50;19;;;;;;;;;;;;;
7;26.10.2022;4;6;7,84;46,50;26;;;;;;;;;;;;;
7;26.10.2022;4;7;9,31;45,50;23;;;;;;;;;;;;;
7;26.10.2022;4;8;9,78;54,00;16;;;;;;;;;;;;;
7;26.10.2022;4;9;9,53;46,50;13;;;;;;;;;;;;;
7;26.10.2022;4;10;10,15;63,50;26;;;;;;;;;;;;;
8;29.11.2022;1;1;12,31;84,00;27;;;;;;;;;;;;;
8;29.11.2022;1;2;12,40;69,00;22;;;;;;;;;;;;;
8;29.11.2022;1;3;13,32;54,00;25;;;;;;;;;;;;;
8;29.11.2022;1;4;10,22;56,00;23;;;;;;;;;;;;;
8;29.11.2022;1;5;11,39;69,00;42;;;;;;;;;;;;;
8;29.11.2022;1;6;11,15;68,00;28;;;;;;;;;;;;;
8;29.11.2022;1;7;10,78;74,50;24;;;;;;;;;;;;;
8;29.11.2022;1;8;10,62;57,00;21;;;;;;;;;;;;;
8;29.11.2022;1;9;10,14;63,50;15;;;;;;;;;;;;;
8;29.11.2022;1;10;12,00;64,50;25;;;;;;;;;;;;;
8;29.11.2022;2;1;10,17;65,00;31;;;;;;;;;;;;;
8;29.11.2022;2;2;11,99;72,00;22;;;;;;;;;;;;;
8;29.11.2022;2;3;10,49;62,50;29;;;;;;;;;;;;;
8;29.11.2022;2;4;11,65;84,00;40;;;;;;;;;;;;;
8;29.11.2022;2;5;11,44;62,00;22;;;;;;;;;;;;;
8;29.11.2022;2;6;11,70;47,50;25;;;;;;;;;;;;;
8;29.11.2022;2;7;12,80;55,00;18;;;;;;;;;;;;;
8;29.11.2022;2;8;10,13;63,50;28;;;;;;;;;;;;;
8;29.11.2022;2;9;13,97;57,00;27;;;;;;;;;;;;;
8;29.11.2022;2;10;11,78;64,50;25;;;;;;;;;;;;;
8;29.11.2022;3;1;12,94;61,50;39;;;;;;;;;;;;;
8;29.11.2022;3;2;10,81;60,00;25;;;;;;;;;;;;;
8;29.11.2022;3;3;11,32;70,00;36;;;;;;;;;;;;;
8;29.11.2022;3;4;8,94;58,00;21;;;;;;;;;;;;;
8;29.11.2022;3;5;9,77;58,50;31;;;;;;;;;;;;;
8;29.11.2022;3;6;13,70;78,00;19;;;;;;;;;;;;;
8;29.11.2022;3;7;10,68;53,00;16;;;;;;;;;;;;;
8;29.11.2022;3;8;9,51;58,00;17;;;;;;;;;;;;;
8;29.11.2022;3;9;12,48;50,00;34;;;;;;;;;;;;;
8;29.11.2022;3;10;13,05;62,00;34;;;;;;;;;;;;;
8;29.11.2022;4;1;10,24;59,00;18;;;;;;;;;;;;;
8;29.11.2022;4;2;10,98;59,50;19;;;;;;;;;;;;;
8;29.11.2022;4;3;10,41;63,00;17;;;;;;;;;;;;;
8;29.11.2022;4;4;11,81;70,50;21;;;;;;;;;;;;;
8;29.11.2022;4;5;9,00;42,00;16;;;;;;;;;;;;;
8;29.11.2022;4;6;8,34;63,00;22;;;;;;;;;;;;;
8;29.11.2022;4;7;10,07;63,00;21;;;;;;;;;;;;;
8;29.11.2022;4;8;10,83;72,00;29;;;;;;;;;;;;;
8;29.11.2022;4;9;9,00;42,00;16;;;;;;;;;;;;;
8;29.11.2022;4;10;11,77;68,50;33;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
